Description of Methods,Sheet,Category,Keyword/Phrase,Usage Context,Component,Explanation and Sources,Username,Strong Bias,Contextual Bias,Technical Terms,Edit Types,Total Edits,Sample Comments,Bias Ratio,Technical Ratio,Ratio Definitions,Unnamed: 10,Unnamed: 11,Policy Recommendation,Rationale,Technical Challenge,Implementation Ideas,Est. Expected Impact,Est. Timeline,Metric,Value,Registration Date,Total Edit Count,User Groups,Recent Topics,Registration Year,Registration Month,Factor,Anti-Israel/Pro Palestine Bias,Anti-American Bias,High Bias Users (27 total identified) to https://en.wikipedia.org/wiki/South_Africa%27s_genocide_case_against_Israel:,timestamp,username,comment,content_length,strong_bias,contextual_bias,technical_terms,total_bias,edit_type,explicit_bias_flag,Factor demonstrating conservative approach/ undercounts of bias,Description of why approach is conservative in bias-detection,Bias Type Identified in Wikipedia Exposed by Analysis,Definition
1. Data Collection: Retrieved all revisions of the specified Wikipedia page using the Wikipedia API.,1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Data Preparation: Converted the revision data into a structured DataFrame, including timestamps, usernames, comments, and content length.",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Bias Analysis: Applied keyword-based analysis to identify bias indicators in edit comments using the following categories:,1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   a. Strong Bias Keywords: genocide, apartheid, ethnic cleansing, war crime, massacre, occupation, colonialism, oppression, terrorist, regime, propaganda, racist, extremist, radical, militant, conspiracy",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   b. Contextual Bias Phrases: illegal, violation, rights, settler, propaganda, bias, prejudice, alleged, claimed, supposedly, purported, controversial, disputed, questionable, one-sided, biased, partisan",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   c. Neutrality Markers: npov, neutral point, objective, balanced, verification needed, citation needed, source needed, fact, reliable source, academic source",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   d. Emotional Language: brutal, horrific, devastating, tragic, outrageous, shocking, condemn, denounce, crisis, disaster, catastrophe, atrocity",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Edit Categorization: Classified edits into types such as content, revert, maintenance, and citation based on comment keywords.",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. User Analysis: Aggregated data by username to calculate total edits, bias indicators, and edit types.",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. Policy Recommendations: Developed suggestions for Wikipedia improvements based on analysis findings, focusing on edit verification, user interaction, content neutrality, and technical implementation.",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. Summary Statistics: Compiled key metrics such as total revisions, unique contributors, and bias ratios for high-level insights.",1.Overall_Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,genocide,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,apartheid,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,ethnic cleansing,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,war crime,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,massacre,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,occupation,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,colonialism,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,oppression,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,terrorist,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,regime,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,propaganda,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,racist,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,extremist,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,radical,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,militant,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Strong Bias,conspiracy,Indicates strong ideological or political bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,illegal,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,violation,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,rights,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,settler,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,propaganda,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,bias,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,prejudice,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,alleged,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,claimed,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,supposedly,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,purported,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,controversial,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,disputed,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,questionable,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,one-sided,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.Bias_Indicators_Reference,Contextual Bias,biased,Indicates potential contextual or subtle bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
